day,month,lon,lat,nldas_tmp2m,nldas_rh2m,nldas_pressfc,nldas_pcpsfc,nldas_dswrfsfc,elev,pd,nldas_ugrd10m,nldas_vgrd10m,gc_aod,pm25_value
2,1,-77.041626,-12.0733786,289.1521037,73.72994,83767.12374,0.0,117.12391712963,124.5,43728,-0.963490263,0.446104541,0.101,12.824185
2,1,-76.9192429,-12.163311,289.2476153,72.43748,83319.21465,0.0,117.072759375,328.3076923,2589,-1.034650365,0.219423865,0.1013685,22.92396417
2,1,-76.9753418,-12.0463991,288.5704607,72.61933,82164.51469,0.0,117.195937037037,254.25,15132,-0.914897349,0.261646406,0.105,23.68833333
2,1,-77.0831299,-12.0104265,289.0831275,74.62432,83965.5052,0.0,117.182445717593,58.53846154,18915,-0.933558404,0.545788577,0.097,11.82061675
2,1,-76.9458466,-12.0194197,288.3957242,72.61933,81712.48359,0.0,117.216726388889,301.1666667,4932,-0.896838512,0.2183944,0.1185,14.15425
2,1,-76.9984818,-11.9834471,288.3733242,72.61933,81873.42684,0.0,117.241888194444,237.5454545,15208,-0.878682563,0.28541893,0.105,22.85458333
2,1,-77.0295715,-11.9025078,287.8089821,71.51005,80839.46049,0.0,117.365604282407,219.5,11405,-0.794386593,0.278013116,0.115,22.77115475
2,1,-77.0730057,-11.8665352,287.8928047,73.38603,81357.31447,0.0,117.42760787037,186.0,8745,-0.796292462,0.371175306,0.108,27.86375
3,1,-77.041626,-12.0733786,289.1971298,79.95546,83733.0389,0.0,113.451920428241,124.5,43728,-0.857848155,0.525746185,0.12533,10.65441414
3,1,-76.9192429,-12.163311,289.2413732,79.06549,83284.87823,0.0,113.500546319444,328.3076923,2589,-0.880416045,0.29952232,0.140344634,23.32400025
3,1,-76.9753418,-12.0463991,288.6117384,77.97925,82130.95203,0.0,113.505533414352,254.25,15132,-0.815881693,0.323737523,0.103909,17.28041667
3,1,-77.0831299,-12.0104265,289.1536949,79.52026,83931.5782,0.0,113.468301064815,58.53846154,18915,-0.851483911,0.625565897,0.1350815,11.84319817
3,1,-76.9458466,-12.0194197,288.4382302,77.97925,81679.06398,0.0,113.515975046296,301.1666667,4932,-0.802040063,0.27524053,0.086735,11.98675
3,1,-76.9984818,-11.9834471,288.4310864,77.97925,81840.11908,0.0,113.513891076389,237.5454545,15208,-0.797937134,0.342653086,0.088587,19.739125
3,1,-77.0295715,-11.9025078,287.8992932,76.02047,80806.7127,0.0,113.560846168981,219.5,11405,-0.752088127,0.32081513,0.110313,19.24602208
3,1,-77.0730057,-11.8665352,287.9997491,77.64135,81324.62188,0.0,113.611890185185,186.0,8745,-0.765975279,0.419233342,0.1511835,25.24458333
4,1,-77.041626,-12.0733786,289.2220821,85.70862,83782.8285,0.0,108.229257546296,124.5,43728,-0.499244549,0.75109896,0.1123715,14.07423531
4,1,-76.9192429,-12.163311,289.1802506,85.17488,83333.75287,0.0,109.322709131944,328.3076923,2589,-0.541488207,0.558979324,0.143535774,20.11013668
4,1,-76.9753418,-12.0463991,288.6762376,84.59619,82175.36288,0.0,107.30133193287,254.25,15132,-0.466229816,0.562609301,0.122451,21.32916667
4,1,-77.0831299,-12.0104265,289.223284,85.48543,83981.85847,0.0,107.504439502315,58.53846154,18915,-0.481745049,0.837174777,0.123952,15.59532198
