year,day,cmaq_x,cmaq_y,elev,emissi11_pm25,forest_cover,high,limi,local,is,pd,lon,lat,rid,elev_k,emissi11_pm25_k,emissi11_pm10_k,forest_cover_k,high_k,limi_k,local_k,is_k,pd_k,cmaq_id,nldas_pevapsfc,nldas_dlwrfsfc,nldas_dswrfsfc,nldas_cape,nldas_fpcsfc,nldas_pcpsfc,nldas_rh2m,nldas_tmp2m,nldas_vgrd10m,nldas_ugrd10m,nldas_pressfc,narr_dpt,narr_vis,narr_hpbl,narr_rh2m,narr_tmp2m,narr_ugrd10m,narr_vgrd10m,narr_rh30mb,narr_rh63mb,narr_rh96mb,narr_rh129mb,narr_rh1512mb,narr_rh1815mb,narr_tmp30mb,narr_tmp63mb,narr_tmp96mb,narr_tmp129mb,narr_tmp1512mb,narr_tmp1815mb,narr_ugrd30m,narr_ugrd30mb,narr_ugrd63mb,narr_ugrd96mb,narr_ugrd129mb,narr_ugrd1512mb,narr_ugrd1815mb,narr_vgrd30m,narr_vgrd30mb,narr_vgrd63mb,narr_vgrd96mb,narr_vgrd129mb,narr_vgrd1512mb,narr_vgrd1815mb,narr_tmp30m,narr_pres2m,narr_pres10m,narr_pres30m,aod_value,pm25_value,gc_aod,pm25_value_k,month
2011,1,-225689.7176,358793.1859,35.7793,0.0,0.0,0.0,0.0,873.75984179,52.114784206,1738.1429518,-98.0,26.5,8,45.670689947,0.0387982547,0.0468132124,0.0036159674,3.9717274095,3.5583100928,1009.1528666,50.503992105,1296.9459548,20641,0.465157,361.171,363.874,0.0,0.0,0.0,46.456,293.014,-5.90714,-1.15,101463.0,290.601,20005.6,881.634,77.1695,294.918,-4.73195,-4.82385,82.2654,76.1379,67.287,60.9056,55.7633,49.7616,293.231,291.24,290.472,288.634,287.068,285.376,-4.09949,-5.22549,-6.81704,-8.10981,-6.75598,-4.895,-2.10445,-5.05149,-5.695,-6.39684,-5.33483,-3.8637,-1.0539,0.498815,294.425,101386.0,101282.0,101040.0,0.112333,8.6,0.0212966667,8.582338592,1.0
2011,1,1571739.203,394958.96546,1.01104,0.0,0.0,1050.0154183,0.0,807.79389622,14.056149733,49.834835352,-80.66666,25.5,9,2.9820260792,0.026325028,0.0305687187,0.0159001036,3.8266282938,1.6839866637,2225.8509785,42.341703742,2261.5825878,23012,0.450157,364.283,567.165,44.3954,0.0,0.0,73.5162,297.414,4.16571,-4.46571,101998.0,294.728,20005.6,724.201,80.0445,298.564,-1.92466,1.0824,68.0954,61.0822,53.4654,46.3213,36.5682,27.6328,298.065,296.302,293.972,291.571,290.047,288.543,-2.39376,-3.80361,-6.36913,-7.82335,-8.99556,-11.2492,-11.8649,0.763616,0.763331,1.15264,1.77975,1.86286,2.03724,2.50663,298.217,101552.0,101482.0,101273.0,,7.9,0.1079233333,7.3835661307,1.0
2011,1,-129148.4244,486373.27359,2.43082,0.0,0.0,0.0,0.0,1009.9151345,1.9777183601,2.1770963356,-97.33334,27.5,8,2.2125547313,0.0009622804,0.0011213865,0.000106788,0.0758393951,0.3698105477,1034.3880125,8.5598523054,3.1930090795,25533,0.506743,313.827,482.562,0.0,0.0,0.0,59.1854,290.363,-9.54571,-2.82143,101876.0,290.97,20005.6,401.701,83.5653,294.043,-1.39862,-5.84468,78.9276,59.8116,59.962,56.1411,51.5797,46.9486,292.815,292.636,292.034,290.676,289.214,287.418,-1.84167,-1.59007,-3.1634,-2.977,-2.15181,-3.02,-4.52112,-5.07232,-6.61427,-7.6833,-5.55358,-4.27256,-1.97057,0.496211,293.508,101352.0,101282.0,101073.0,0.027,5.9,0.0226366667,5.9000331069,1.0
2011,1,1430634.6886,466668.00017,3.87558,0.0,0.0,0.0,2030.1566648,0.0,22.509803922,223.29121777,-82.0,26.5,9,5.3688162825,0.0197162381,0.0242302454,0.0017040506,3.6691492223,1.1776101216,1003.105294,35.232325042,879.21364462,25664,0.4418,355.794,540.059,1.84686,0.0,0.0,63.8325,297.626,4.81429,-1.88143,101950.0,293.567,17738.9,1054.3,85.4611,296.314,-4.89601,-2.1051,87.1351,74.2211,63.2044,53.5383,44.2163,35.6327,294.877,293.177,291.326,289.363,287.464,285.543,-5.83907,-6.70205,-9.52798,-11.1697,-11.0711,-10.2934,-9.40654,-2.66347,-1.27313,-0.123403,0.82663,2.24046,3.36537,3.6785,295.279,97185.8,97082.1,96839.6,,5.4,0.1118033333,7.4889501636,1.0
2011,1,1573342.2766,464616.01943,3.356,0.0,0.020202,0.0,0.0,2037.5732931,19.29144385,458.64102252,-80.66666,26.0,9,2.9987849057,0.0044282512,0.0049954645,0.013379548,1.8185801651,0.7112183866,20.871296506,13.212763888,486.95103777,25676,0.474414,360.21,549.993,13.7326,0.0,0.0,67.409,297.703,4.88714,-3.68714,101989.0,293.694,20005.6,814.801,81.732,297.189,-5.15643,-0.105097,84.6765,75.103,60.1492,48.7659,40.4163,32.5352,295.315,293.073,291.076,288.78,286.63,284.209,-5.51615,-5.72028,-6.28579,-6.25825,-5.27942,-4.78042,-4.65133,-0.173884,0.177394,0.894826,2.97507,4.23005,4.4487,3.91288,296.529,101586.0,101515.0,101273.0,,10.2,0.1008966667,7.3984040721,1.0
2011,1,1585235.2384,464445.75933,1.5291,0.0,0.0160428,0.0,0.0,2306.760757,37.794117647,2189.1585975,-80.0,26.0,9,3.1910355189,0.0481226909,0.0533697819,0.0101314433,20.402567411,7.2718492918,379.35794478,35.555156429,951.24674921,25677,0.328929,363.027,544.244,12.032,0.262786,0.0,73.5283,296.78,4.8,-3.52714,102000.0,293.447,20005.6,764.201,82.7945,296.689,-5.02362,-0.399368,84.5591,76.5759,61.278,49.4548,40.6483,32.4589,295.127,292.844,290.805,288.696,286.734,284.564,-5.43022,-5.96507,-6.56183,-6.62804,-5.70911,-5.18667,-5.16695,-0.45253,0.107081,0.704722,2.76934,4.03734,4.26901,3.80611,296.279,101619.0,101515.0,101273.0,,6.25,0.1054766667,7.392053924,1.0
2011,1,1585762.1144,487726.84738,3.42163,0.0,0.0,0.0,0.0,1014.1759663,24.21799308,2856.0641017,-80.0,26.5,9,5.2023668459,0.0346949543,0.0407550015,0.0031796001,169.07394032,28.425325606,290.36051536,35.505869677,1603.9932549,26565,0.503029,362.76,546.447,14.4183,0.0,0.0,64.1261,298.074,5.14571,-3.33,101988.0,293.447,20005.6,764.201,82.7945,296.689,-5.02362,-0.399368,84.5591,76.5759,61.278,49.4548,40.6483,32.4589,295.127,292.844,290.805,288.696,286.734,284.564,-5.43022,-5.96507,-6.56183,-6.62804,-5.70911,-5.18667,-5.16695,-0.45253,0.107081,0.704722,2.76934,4.03734,4.26901,3.80611,296.279,101619.0,101515.0,101273.0,,5.9,0.10191,7.3920525303,1.0
2011,1,-140699.6727,521723.5358,10.7339,0.0,0.0,0.0,1044.3942202,2793.357534,71.976124885,1824.1584636,-97.33334,28.0,8,11.921190434,0.0593590242,0.0602279,0.0073506274,0.4273394289,91.018400927,325.89255321,32.362750021,211.53422694,26864,0.591643,306.617,459.78,0.0,0.0,0.0,39.6445,290.39,-7.75286,-2.53286,101812.0,290.252,15938.9,477.267,79.9611,294.148,-4.09393,-1.02697,87.2908,76.5343,69.3121,61.205,53.1237,46.8938,292.773,291.594,290.472,288.696,287.005,285.084,-4.49011,-4.58747,-6.94725,-6.89627,-5.21171,-4.51219,-3.6956,-0.923884,-0.87469,-1.51924,-1.03275,-0.991308,-1.14765,-1.54806,293.633,101386.0,101282.0,101040.0,,6.3,0.0201966667,5.9173073336,1.0
2011,1,1407585.9372,502001.00714,0.882781,0.0,0.0,0.0,0.0,609.83541275,14.336898396,725.20557351,-82.0,26.5,9,6.8302959197,0.0470988009,0.0580606083,0.004274069,8.6824735491,2.5995851159,103.1864898,33.716240299,1229.6428089,26994,0.318629,354.189,526.623,1.33943,0.0,0.0,70.1112,296.251,4.78286,-1.62714,101935.0,294.03,19338.9,394.867,87.607,296.377,-4.86737,-1.45145,89.0539,74.875,62.2399,51.742,44.74,37.9733,294.835,293.407,291.388,289.134,286.922,284.397,-5.47709,-6.14736,-7.28058,-6.84158,-6.27421,-5.53563,-4.54456,-1.98118,-0.90594,1.16566,2.85528,3.95401,4.36276,4.23579,295.737,101552.0,101482.0,101206.0,0.323,7.5,0.1118033333,7.499765506,1.0
2011,1,1586290.5137,511039.69595,5.53486,0.0,0.0,0.0,0.0,1080.8395181,28.662075298,1365.603552,-80.0,26.5,9,6.461095731,0.0385417531,0.046340008,0.0031359255,66.705098913,817.19737197,1496.270245,43.715100405,864.23170985,27453,0.599371,362.226,555.026,15.2503,0.0,0.0,59.3089,298.844,5.08143,-2.93571,101985.0,295.957,14138.9,810.134,83.3153,299.252,-0.698095,-0.834264,89.3874,80.998,67.8711,57.3405,48.3923,39.037,297.148,294.927,293.118,291.092,289.026,286.605,-0.786987,-1.31143,-2.34048,-3.99783,-5.59452,-6.29605,-6.52893,-1.12961,-1.41375,-1.23538,-0.181183,0.209213,0.451304,0.477982,298.3,100052.0,99948.7,99773.0,,4.2,0.10191,7.3894326371,1.0
2011,1,1527323.9283,535281.20899,2.06667,0.0,0.0,0.0,0.0,262.24890645,1.5026737968,66.175831778,-80.66666,27.0,9,5.5817339206,0.042000441,0.0513583164,0.0036267465,1499.6342452,6.3737824972,487.94087379,28.350701841,127.55731933,28336,0.379929,360.391,534.765,11.0811,0.0,0.0,59.8662,298.306,4.85571,-2.63,101937.0,292.184,20005.6,1003.4,76.732,296.71,-4.40643,-0.235306,76.5353,69.4745,60.6693,48.9128,42.8826,37.0163,295.356,293.261,290.993,288.78,286.922,284.959,-3.95626,-4.88695,-5.49413,-5.27648,-4.86796,-3.79605,-3.04456,-0.637426,0.172185,1.22295,2.65996,3.56598,4.72214,5.96236,296.362,101619.0,101515.0,101340.0,,12.1,0.0979766667,7.4231935931,1.0
2011,1,1574914.6745,534563.27766,4.73368,0.0,0.0,0.0,0.0,0.0,32.859504132,1156.1833088,-80.0,26.5,9,7.5505051391,0.0416971975,0.0507101404,0.0033853751,31.810701207,29.305160837,634.80146246,19.100096993,409.25606475,28340,0.593943,371.036,547.714,19.1817,0.0,0.0,56.5945,299.179,5.97143,-3.51,101958.0,291.97,20005.6,1144.93,70.5861,297.814,-3.87778,0.579798,73.8929,68.3848,58.7838,47.0056,41.0232,35.7518,295.815,293.407,291.034,288.78,286.88,284.959,-3.30522,-4.43382,-4.93944,-4.9744,-4.53723,-3.88459,-3.70341,0.175074,0.747706,1.32972,2.35007,2.66755,3.26901,4.47538,297.154,101619.0,101515.0,101306.0,,18.233333333,0.10191,7.3906743443,1.0
2011,1,1360947.9217,549478.45167,6.26294,0.0,0.126722,0.0,0.0,0.0,0.0,10.75683466,-82.0,27.0,9,9.3379578152,0.0827715464,0.1024177325,0.0468648723,16.32073657,3.9863093145,79.174494621,13.929316846,340.78045528,28766,0.404071,352.93,517.803,2.82057,0.0,0.0,68.9191,296.369,5.15286,-1.95143,101979.0,295.429,19872.2,213.234,88.7111,297.606,-1.93507,-0.201452,91.3981,78.8017,69.9485,63.3081,54.8706,44.2437,296.273,295.24,293.326,290.905,288.964,286.918,-1.58386,-2.26455,-4.36913,-5.99523,-6.94348,-7.09032,-5.77893,-0.434301,0.0263519,1.42868,1.82142,2.15453,2.37839,2.28267,296.987,101586.0,101515.0,101273.0,,7.5,0.1089033333,7.4492912685,1.0
2011,1,1337374.7311,561551.02268,4.6226,0.0,0.0409982,1261.0634951,0.0,1383.25101,62.421568628,977.64201479,-82.66666,27.5,9,8.5218154721,0.0257620773,0.0319113597,0.036587259,5.6093454671,1.1884223738,27.883619391,23.30413597,1135.0556164,29208,0.199129,343.066,520.404,0.0,0.0,0.0,77.1282,294.253,4.59,-1.72571,101946.0,295.168,16405.6,207.467,92.2111,296.668,-1.70851,-0.357702,91.2116,78.869,69.8312,63.7448,55.535,45.0893,296.085,295.115,293.305,290.863,288.964,287.001,-1.69063,-2.56924,-4.291,-5.89106,-6.84192,-6.93928,-5.54456,-0.494197,0.328435,1.43649,1.78757,2.0764,2.23776,2.04569,296.362,101586.0,101515.0,101306.0,,8.3,0.09527,7.4055504973,1.0
2011,1,1564040.6328,581535.10613,3.18789,0.0,0.0151515,0.0,0.0,1186.7786454,7.0839100346,97.341157282,-80.0,27.0,9,6.653153241,0.0480509807,0.0589786351,0.0040830511,47.071452369,6.278354672,1223.1535815,33.932831501,877.9640598,30115,0.236343,358.173,548.42,37.0286,0.0,0.0,73.1003,296.881,5.75286,-3.66571,102001.0,293.976,18338.9,1379.67,80.3361,297.793,-0.247574,-2.9827,82.4243,74.9143,64.1223,54.3386,46.3551,38.2254,295.023,292.427,290.347,288.363,286.547,284.543,-0.224487,-1.31143,-1.65558,-1.26085,-0.688273,-0.647608,-1.02633,-3.79107,-1.72104,-0.842153,0.365692,0.477442,0.706512,1.27746,296.862,97752.5,97682.1,97473.0,,8.7,0.09518,7.3764679765,1.0
2011,1,-437681.7898,630716.6908,219.915,0.0,0.149733,0.0,0.0,0.0,1.3856749311,5.9577559362,-100.66666,28.5,8,255.38146254,0.0348593472,0.0420898371,0.1329742735,1005.0144727,3.4433919326,23.377633484,21.632978182,27.822263465,30835,0.439257,283.73,437.723,0.0,0.0,0.0,26.2729,288.353,-2.34143,0.0942857,99222.2,286.481,20005.6,750.401,66.0653,293.189,-3.34914,1.12928,73.9904,68.6755,57.7803,45.2785,42.3692,38.3101,292.023,290.282,288.576,287.342,286.005,284.001,-3.3573,-3.56143,-4.80923,-5.06815,-5.57109,-4.32469,-3.6982,0.943303,1.40916,0.75941,1.20684,1.25869,0.331512,-1.32671,292.696,100319.0,100249.0,100006.0,0.0676,6.1,0.01747,6.1013282125,1.0
